"country","method","user_count","total_cost","verification_success_rate"
"GN","Whatsapp","2","0.09","1.0000"
"GA","Whatsapp","2","0.09","1.0000"
"RW","Whatsapp","2","0.09","1.0000"
"CN","Whatsapp","2","0.09","0.5000"
"BW","Sms","1","0.09","1.0000"
"BN","Whatsapp","2","0.09","1.0000"
"BF","Whatsapp","2","0.09","1.0000"
"UZ","Whatsapp","2","0.09","1.0000"
"AR","Whatsapp","2","0.09","1.0000"
"VE","Whatsapp","2","0.09","1.0000"
"AO","Sms","1","0.09","0.0000"
"ZM","Whatsapp","2","0.09","1.0000"
"AF","Whatsapp","2","0.08","1.0000"
"FO","Sms","1","0.07","0.0000"
"CU","Sms","1","0.07","0.0000"
"BN","Sms","4","0.07","1.0000"
"MD","Sms","1","0.06","1.0000"
"BS","Sms","1","0.05","1.0000"
"PL","Whatsapp","1","0.04","1.0000"
"TJ","Whatsapp","1","0.04","1.0000"
"FJ","Whatsapp","1","0.04","1.0000"
"LK","Whatsapp","1","0.04","1.0000"
"BJ","Whatsapp","1","0.04","1.0000"
"BI","Whatsapp","1","0.04","0.0000"
"GD","Whatsapp","1","0.04","0.0000"
"PE","Whatsapp","1","0.04","1.0000"
"GE","Whatsapp","1","0.04","0.0000"
"PA","Whatsapp","1","0.04","1.0000"
"TC","Whatsapp","1","0.04","1.0000"
"NE","Whatsapp","1","0.04","1.0000"
"HR","Whatsapp","1","0.04","1.0000"
"HU","Whatsapp","1","0.04","1.0000"
"MW","Whatsapp","1","0.04","1.0000"
"AM","Whatsapp","1","0.04","1.0000"
"LA","Whatsapp","1","0.04","1.0000"
"LT","Whatsapp","1","0.04","1.0000"
"MT","Whatsapp","1","0.04","1.0000"
"KM","Whatsapp","1","0.04","0.0000"
"CR","Sms","1","0.04","1.0000"
"SL","Whatsapp","1","0.04","0.0000"
"SD","Whatsapp","1","0.04","1.0000"
"CG","Whatsapp","1","0.04","0.0000"
"DO","Whatsapp","1","0.04","1.0000"
"ME","Whatsapp","1","0.04","1.0000"
"GR","Whatsapp","1","0.04","0.0000"
"RE","Whatsapp","1","0.04","0.0000"
"TD","Whatsapp","1","0.04","1.0000"
"BO","Whatsapp","1","0.04","1.0000"
"TG","Whatsapp","1","0.04","1.0000"
"PR","Sms","1","0.04","0.0000"
